File name: ../wordfreq/cityup/1.txt
我們 22/397 = 0.0554156171285
有 17/397 = 0.0428211586902
說 16/397 = 0.0403022670025
就 15/397 = 0.0377833753149
數學 15/397 = 0.0377833753149
都 15/397 = 0.0377833753149
上 12/397 = 0.0302267002519
也 12/397 = 0.0302267002519
到 11/397 = 0.0277078085642
地 11/397 = 0.0277078085642
什麼 10/397 = 0.0251889168766
File name: ../wordfreq/9knife/23.txt
的 174/581 = 0.299483648881
了 71/581 = 0.122203098107
我 61/581 = 0.104991394148
在 41/581 = 0.0705679862306
就 24/581 = 0.0413080895009
媽媽 23/581 = 0.039586919105
上 21/581 = 0.0361445783133
都 21/581 = 0.0361445783133
棒 18/581 = 0.0309810671256
被 15/581 = 0.025817555938
照片 14/581 = 0.0240963855422
也 14/581 = 0.0240963855422
我們 13/581 = 0.0223752151463
說 11/581 = 0.0189328743546
有 11/581 = 0.0189328743546
不 11/581 = 0.0189328743546
那 10/581 = 0.0172117039587
裏 10/581 = 0.0172117039587
畢業 9/581 = 0.0154905335628
到 9/581 = 0.0154905335628
File name: ../wordfreq/9knife/24.txt
的 88/211 = 0.417061611374
先生 19/211 = 0.0900473933649
了 19/211 = 0.0900473933649
我 16/211 = 0.0758293838863
父親 14/211 = 0.0663507109005
你 13/211 = 0.0616113744076
在 13/211 = 0.0616113744076
地 10/211 = 0.0473933649289
就 10/211 = 0.0473933649289
母親 9/211 = 0.042654028436
File name: ../wordfreq/love0/1.txt
的 883/6245 = 0.141393114492
了 663/6245 = 0.106164931946
你 237/6245 = 0.0379503602882
道 221/6245 = 0.0353883106485
